exp_date,train_rmse,train_custom_acc,val_rmse_for_best_train,val_custom_acc_for_best_train,test_rmse_for_best_train,test_custom_acc_for_best_train,train_epoch_for_best_train,val_rmse,val_custom_acc,train_rmse_for_best_val,train_custom_acc_for_best_val,test_rmse_for_best_val,test_custom_acc_for_best_val,val_epoch_for_best_val,test_rmse,test_custom_acc,train_rmse_for_best_test,train_custom_acc_for_best_test,val_rmse_for_best_test,val_custom_acc_for_best_test,test_epoch_for_best_test,seq_len,lr,d,hid_d,last_d,time_d,e_layers,token_emb_kernel_size,dropout,comb_type,bs
2024-08-02 02:08,46468.594,57.19648361206055,93128.086,17.42411231994629,73107.98,38.86705017089844,17,76836.36,44.40982437133789,47920.105,49.37825775146485,71444.055,35.277862548828125,11,71444.055,35.277862548828125,47920.105,49.37825775146485,76836.36,44.40982437133789,11,16,0.03,462,680,938,128,10,12,0.71,add,1024
2024-08-01 22:24,40332.3,56.96192932128906,74340.74,17.19671630859375,82202.25,-3.16035795211792,19,68300.375,46.50358963012695,50853.19,47.98748779296875,71204.85,34.15985107421875,9,69572.164,29.84190559387207,55108.18,40.0734977722168,69069.89,41.38508987426758,5,8,0.01,16,32,16,128,2,3,0.1,add,1100
2024-08-01 22:16,40332.3,56.96192932128906,74340.74,17.19671630859375,82202.25,-3.16035795211792,19,68300.375,46.50358963012695,50853.19,47.98748779296875,71204.85,34.15985107421875,9,69572.164,29.84190559387207,55108.18,40.0734977722168,69069.89,41.38508987426758,5,8,0.01,16,32,16,128,2,3,0.1,add,1100
2024-08-01 22:18,40332.3,56.96192932128906,74340.74,17.19671630859375,82202.25,-3.16035795211792,19,68300.375,46.50358963012695,50853.19,47.98748779296875,71204.85,34.15985107421875,9,69572.164,29.84190559387207,55108.18,40.0734977722168,69069.89,41.38508987426758,5,8,0.01,16,32,16,128,2,3,0.1,add,1100
2024-08-01 22:19,40332.3,56.96192932128906,74340.74,17.19671630859375,82202.25,-3.16035795211792,19,68300.375,46.50358963012695,50853.19,47.98748779296875,71204.85,34.15985107421875,9,69572.164,29.84190559387207,55108.18,40.0734977722168,69069.89,41.38508987426758,5,8,0.01,16,32,16,128,2,3,0.1,add,1100
2024-08-01 22:23,40332.3,56.96192932128906,74340.74,17.19671630859375,82202.25,-3.16035795211792,19,68300.375,46.50358963012695,50853.19,47.98748779296875,71204.85,34.15985107421875,9,69572.164,29.84190559387207,55108.18,40.0734977722168,69069.89,41.38508987426758,5,8,0.01,16,32,16,128,2,3,0.1,add,1100
2024-08-01 22:21,40332.3,56.96192932128906,74340.74,17.19671630859375,82202.25,-3.16035795211792,19,68300.375,46.50358963012695,50853.19,47.98748779296875,71204.85,34.15985107421875,9,69572.164,29.84190559387207,55108.18,40.0734977722168,69069.89,41.38508987426758,5,8,0.01,16,32,16,128,2,3,0.1,add,1100
2024-08-01 22:16,40332.3,56.96192932128906,74340.74,17.19671630859375,82202.25,-3.16035795211792,19,68300.375,46.50358963012695,50853.19,47.98748779296875,71204.85,34.15985107421875,9,69572.164,29.84190559387207,55108.18,40.0734977722168,69069.89,41.38508987426758,5,8,0.01,16,32,16,128,2,3,0.1,add,1100
2024-08-01 22:21,40332.3,56.96192932128906,74340.74,17.19671630859375,82202.25,-3.16035795211792,19,68300.375,46.50358963012695,50853.19,47.98748779296875,71204.85,34.15985107421875,9,69572.164,29.84190559387207,55108.18,40.0734977722168,69069.89,41.38508987426758,5,8,0.01,16,32,16,128,2,3,0.1,add,1100
2024-08-01 22:18,40332.3,56.96192932128906,74340.74,17.19671630859375,82202.25,-3.16035795211792,19,68300.375,46.50358963012695,50853.19,47.98748779296875,71204.85,34.15985107421875,9,69572.164,29.84190559387207,55108.18,40.0734977722168,69069.89,41.38508987426758,5,8,0.01,16,32,16,128,2,3,0.1,add,1100
2024-08-01 22:19,40332.3,56.96192932128906,74340.74,17.19671630859375,82202.25,-3.16035795211792,19,68300.375,46.50358963012695,50853.19,47.98748779296875,71204.85,34.15985107421875,9,69572.164,29.84190559387207,55108.18,40.0734977722168,69069.89,41.38508987426758,5,8,0.01,16,32,16,128,2,3,0.1,add,1100
2024-08-02 03:09,36912.246,58.389305114746094,77929.73,4.761128902435303,77092.19,-1.2618346214294434,12,75702.08,33.333152770996094,61440.82,40.03711700439453,68797.48,30.30833625793457,1,67497.05,23.976036071777344,46249.34,48.50617599487305,78829.83,32.58834457397461,7,20,0.024,376,686,852,64,10,14,0.5700000000000001,add,128
2024-08-02 04:27,41990.6,57.37960815429688,74459.586,42.49359130859375,76601.19,17.776716232299805,13,75421.16,22.83222770690918,51330.54,39.82672882080078,76953.52,1.5662535429000854,8,76953.52,1.5662535429000854,51330.54,39.82672882080078,75421.16,22.83222770690918,8,28,0.046,348,760,810,128,8,12,0.66,add,1024
2024-08-02 02:25,43007.98,53.25348281860352,84682.05,36.3281478881836,86165.664,27.69256401062012,12,76109.86,51.1158561706543,58509.137,46.61782455444336,73951.18,47.26734161376953,1,71938.18,41.67479705810547,46772.113,56.47145080566406,70942.83,48.29804992675781,7,24,0.098,478,594,980,128,14,13,0.65,add,128
2024-08-02 02:47,35437.055,63.13348007202149,90554.24,28.97331428527832,80806.99,36.01227188110352,12,70861.445,39.44808197021485,47739.99,47.07764053344727,68865.26,30.69428062438965,4,72572.01,36.36333465576172,48645.543,46.73893737792969,66733.805,43.477298736572266,3,24,0.023,414,698,930,128,9,15,0.5700000000000001,add,256
2024-08-02 01:29,42363.332,51.47580337524414,83693.23,16.29511070251465,80292.02,11.78639793395996,17,77729.805,46.79539489746094,47724.188,50.179683685302734,70528.305,46.22481155395508,8,70528.305,46.22481155395508,47724.188,50.179683685302734,77729.805,46.79539489746094,8,24,0.02,390,782,870,64,11,10,0.5900000000000001,add,1024
2024-08-02 00:20,30360.418,66.54761505126953,118458.83,-39.02446365356445,90743.92,-8.105809211730957,21,69630.75,42.68864440917969,47927.58,54.36245727539063,71009.54,37.653934478759766,8,67549.77,32.78786087036133,41727.508,55.83359146118164,72412.984,41.95213317871094,7,28,0.037,440,714,608,256,15,13,0.71,add,256
2024-08-02 02:03,36713.34,62.207645416259766,77397.55,40.059329986572266,72535.83,44.233680725097656,12,217260.75,-50.20331573486328,330137.34,-95.6502914428711,97557.85,29.931520462036133,1,71960.35,39.97837066650391,49991.48,45.18129348754883,72607.89,47.16689300537109,3,24,0.044,474,670,954,128,11,14,0.65,add,256
2024-08-02 05:35,31461.979,67.85979461669922,85638.125,5.396317958831787,74865.47,31.67571258544922,26,77165.984,19.7835636138916,49414.402,44.56925201416016,82576.97,-6.055388450622559,9,74794.88,38.02344512939453,53436.902,49.5088005065918,86695.92,32.09946823120117,14,28,0.027,308,676,694,64,7,12,0.63,add,1024
2024-08-02 06:03,33927.89,63.84159469604492,82215.555,28.35152053833008,80309.305,31.50289726257324,13,77961.23,19.27397918701172,47746.977,44.842872619628906,85759.43,-9.46603298187256,4,70984.79,35.51163864135742,51328.938,41.98569107055664,69276.484,42.174049377441406,3,16,0.028,314,802,806,256,8,11,0.56,add,256
2024-08-02 10:01,30796.174,66.77661895751953,83156.77,14.68248176574707,73595.29,18.25115203857422,17,80583.016,41.63058853149414,69556.664,37.58129501342773,74680.65,34.0081787109375,1,71182.414,23.342205047607425,46066.625,48.13794708251953,72646.95,37.63484954833984,4,16,0.031,312,752,826,256,9,11,0.63,add,128
2024-08-02 00:21,35872.926,58.030494689941406,110619.336,-36.62370300292969,88796.79,-17.318052291870117,17,73310.984,41.340145111083984,53038.72,46.829097747802734,73743.23,30.678390502929688,5,72600.516,15.89658546447754,50170.023,48.29182052612305,78104.195,27.205209732055664,11,24,0.032,266,624,876,64,10,15,0.62,add,512
