exp_date,train_rmse,train_custom_acc,val_rmse_for_best_train,val_custom_acc_for_best_train,test_rmse_for_best_train,test_custom_acc_for_best_train,train_epoch_for_best_train,val_rmse,val_custom_acc,train_rmse_for_best_val,train_custom_acc_for_best_val,test_rmse_for_best_val,test_custom_acc_for_best_val,val_epoch_for_best_val,test_rmse,test_custom_acc,train_rmse_for_best_test,train_custom_acc_for_best_test,val_rmse_for_best_test,val_custom_acc_for_best_test,test_epoch_for_best_test,seq_len,lr,d,hid_d,last_d,time_d,e_layers,comb_type,bs
2024-07-17 20:44,247.27924,-14.539584159851074,438.32104,-61.67852783203125,339.8235,-66.74716186523438,9,416.36395,-2.029039144515991,249.7405,24.001235961914062,341.33133,-18.13787651062012,11,339.8235,-66.74716186523438,247.27924,-14.539584159851074,438.32104,-61.67852783203125,9,28,0.1,256,256,512,128,8,add,1100
2024-07-17 19:36,352.75864,19.62553977966309,429.53952,-15.922738075256348,379.836,-26.90009117126465,7,519.5095,-168.33670043945312,505.3485,-158.14022827148438,425.27682,-142.67965698242188,8,649.669,-90.93936157226562,985.6316,-311.2386779785156,783.3212,-183.44650268554688,1,36,0.1,256,256,256,32,8,add,1100
2024-07-17 18:05,506.1424,-4.7281694412231445,561.83405,-82.23950958251953,532.9241,-149.4566650390625,8,560.7327,-252.6090240478516,456.94977,-190.536865234375,511.68854,-229.1791534423828,1,465.1515,-62.087013244628906,1791.2054,-154.27479553222656,1002.86066,-80.57369232177734,3,36,0.1,256,32,256,32,16,add,1100
2024-07-17 18:50,202.47293,34.86856460571289,451.45026,-0.8252741694450378,411.34662,-2.259359359741211,11,434.2135,-16.786046981811523,222.74266,19.796300888061523,371.45557,-7.226930618286133,8,371.45557,-7.226930618286133,222.74266,19.796300888061523,434.2135,-16.786046981811523,8,36,0.08,256,64,256,128,8,add,1100
2024-07-17 18:59,237.09824,26.89681053161621,440.27335,-58.85288238525391,378.9838,-70.01170349121094,7,433.2207,-43.37795639038086,338.5663,-16.57415008544922,365.47998,-50.32806015014648,1,365.47998,-50.32806015014648,338.5663,-16.57415008544922,433.2207,-43.37795639038086,1,28,0.04,256,64,256,32,8,add,1100
2024-07-17 16:30,173.6162,-14.518181800842283,468.22552,-113.76368713378906,408.9999,-107.09864807128906,11,411.08987,-95.59354400634766,308.35367,-80.82919311523438,389.87292,-144.71234130859375,3,382.53638,-150.52256774902344,222.16864,-74.41336822509766,424.7533,-146.5585479736328,6,8,0.02,128,256,256,32,2,add,1100
2024-07-17 11:35,226.42903,-35.549800872802734,447.83167,,422.23605,,12,408.45944,-236.8915100097656,242.52208,,394.84283,,9,407.81906,-296.0567626953125,228.78317,,413.2369,,10,8,0.01,32,256,256,32,2,add,1100
2024-07-17 12:04,175.12619,39.08782577514648,443.99548,,397.20303,,14,481.0046,-38.247013092041016,247.13513,,412.64407,,11,412.64407,-2.6851143836975098,247.13513,,481.0046,,11,8,0.1,128,64,32,32,8,add,1100
2024-07-17 17:54,238.54407,20.13485336303711,395.78397,-40.13823318481445,448.36014,-44.89656066894531,8,397.06522,-24.494638442993164,353.3461,14.327495574951172,380.7612,-32.21550369262695,7,500.70523,-190.4443359375,443.49692,-153.47682189941406,554.49646,-224.9097137451172,1,28,0.1,256,32,256,32,8,add,1100
2024-07-17 18:22,468.85342,-3.1252474784851074,503.0029,-31.52572059631348,417.43143,-12.230965614318848,4,503.0029,-31.52572059631348,468.85342,-3.1252474784851074,417.43143,-12.230965614318848,4,425.889,-6.846399784088135,582.8379,-2.2316434383392334,541.0145,-28.70168685913086,1,36,0.02,256,32,512,32,32,add,1100
2024-07-17 18:07,423.2782,-43.84828567504883,510.15082,-80.12025451660156,408.37338,-62.35700988769531,4,592.74615,-3.908868312835693,1795.9998,-116.64157104492188,497.19565,17.668588638305664,5,497.19565,17.668588638305664,1795.9998,-116.64157104492188,592.74615,-3.908868312835693,5,28,0.02,256,32,256,32,32,add,1100
2024-07-17 11:53,446.5063,-233.4652404785156,468.48334,,423.49365,,16,408.22195,-128.56103515625,221.21965,,395.56485,,11,437.49524,-362.9242858886719,267.61792,,430.07242,,9,8,0.2,64,256,32,32,2,add,1100
2024-07-17 18:16,180.96803,26.49892234802246,422.4006,-35.965423583984375,411.10852,-79.55596923828125,8,405.96057,-15.889992713928224,295.22476,-8.075407981872559,356.59317,-50.74877166748047,3,396.69278,-56.40138244628906,461.97397,-47.69844818115234,489.70715,-74.73233032226562,1,28,0.02,256,32,256,128,8,add,1100
2024-07-17 18:58,537.2734,-9.911378860473633,569.85944,-54.00230407714844,440.92587,-88.54271697998047,7,504.1739,-49.46015548706055,448.64148,-60.04616165161133,413.3639,-26.593669891357425,1,413.3639,-26.593669891357425,448.64148,-60.04616165161133,504.1739,-49.46015548706055,1,28,0.08,256,64,256,128,16,add,1100
2024-07-17 16:17,192.25375,-11.775099754333496,464.2977,-112.05166625976562,419.63492,-113.8653793334961,16,401.8133,-162.53939819335938,223.21773,-41.76255798339844,405.5074,-215.54974365234372,10,374.51566,-170.88671875,301.33228,-46.94451141357422,465.58664,-111.71571350097656,4,8,0.005,128,64,256,32,8,add,1100
2024-07-17 19:20,330.10565,-51.71083831787109,454.69012,-88.98764038085938,393.9003,-86.45318603515625,2,597.81946,16.716646194458008,659.527,24.64779663085937,487.4437,29.88891220092773,1,487.4437,29.88891220092773,659.527,24.64779663085937,597.81946,16.716646194458008,1,28,0.02,256,64,512,32,16,add,1100
2024-07-17 21:00,345.4289,6.338127613067627,449.89243,-23.96100807189941,374.1468,-42.01851272583008,10,449.89243,-23.96100807189941,345.4289,6.338127613067627,374.1468,-42.01851272583008,10,346.2489,-70.7587890625,488.8118,-20.82778549194336,609.69293,-80.66069030761719,11,36,0.1,256,256,512,128,16,add,1100
2024-07-17 12:28,278.24707,-92.94181823730467,406.66455,,353.42096,,9,431.6121,-174.2320556640625,366.74847,,422.2887,,5,353.42096,-100.1960678100586,278.24707,,406.66455,,9,8,0.2,128,256,256,32,2,add,1100
2024-07-17 18:27,399.9052,-140.9293975830078,507.3193,-166.4000701904297,545.23126,-215.08587646484372,2,508.35248,-13.309855461120604,423.95093,-25.37882423400879,400.00998,-79.74612426757812,3,493.70532,31.8302059173584,660.7292,25.84623908996582,608.7695,21.20946311950684,1,36,0.04,256,32,256,128,16,add,1100
2024-07-17 19:18,380.20395,-0.6674875020980835,461.523,-21.296417236328125,445.09293,-64.83253479003906,6,541.95825,-31.169620513916016,544.5706,-10.495365142822266,401.43634,-38.45818328857422,5,401.43634,-38.45818328857422,544.5706,-10.495365142822266,541.95825,-31.169620513916016,5,36,0.1,256,64,512,32,8,add,1100
2024-07-17 18:36,216.51595,6.46394157409668,408.75327,-52.156585693359375,373.3344,-61.80739974975586,9,408.75327,-52.156585693359375,216.51595,6.46394157409668,373.3344,-61.80739974975586,9,401.01608,-13.309663772583008,757.88007,-13.001995086669922,661.0856,-22.831605911254883,4,28,0.1,256,32,512,128,8,add,1100
2024-07-17 16:22,181.58366,14.597824096679688,560.9052,-407.883544921875,470.53528,-349.0173034667969,14,441.71356,-151.1929473876953,257.13217,-22.32954406738281,373.19565,-120.98724365234376,8,373.19565,-120.98724365234376,257.13217,-22.32954406738281,441.71356,-151.1929473876953,8,28,0.02,128,64,32,32,8,add,1100
2024-07-17 18:38,281.69302,2.0424482822418213,446.761,6.206492900848389,351.55682,-24.732589721679688,8,451.33307,-73.65975952148438,358.3424,-30.755571365356445,400.6056,-67.67396545410156,9,400.6056,-67.67396545410156,358.3424,-30.755571365356445,451.33307,-73.65975952148438,9,28,0.15,256,32,512,128,8,add,1100
2024-07-17 11:55,358.6813,-173.31358337402344,450.97534,,411.50916,,13,2616.9336,-3370.88916015625,1891.444,,2363.5483,,14,386.0037,-130.11016845703125,235.59406,,463.89844,,9,8,0.1,64,256,256,32,8,add,1100
2024-07-17 16:46,216.3911,-64.41496276855469,423.36987,-240.92906188964844,455.74634,-309.3758544921875,16,384.2279,-166.8841094970703,271.36328,-89.89701843261719,397.1715,-221.8839263916016,10,397.1715,-221.8839263916016,271.36328,-89.89701843261719,384.2279,-166.8841094970703,10,28,0.001,256,64,256,32,2,add,1100
2024-07-17 16:11,202.09291,-28.698535919189453,460.42,-118.99588012695312,385.43384,-139.1781768798828,11,388.67984,-182.7530670166016,263.05545,-123.78271484375,399.95526,-255.20361328125,5,387.5921,-201.0538787841797,287.02042,-99.53378295898438,396.5011,-143.0397186279297,4,8,0.02,128,64,256,32,2,add,1100
2024-07-17 19:05,471.83032,-6.894550323486328,531.62115,-2.7970755100250244,415.31265,2.004058361053467,4,504.15482,-118.30902099609376,503.3139,-79.83495330810547,409.2819,-95.16544342041016,1,409.2819,-95.16544342041016,503.3139,-79.83495330810547,504.15482,-118.30902099609376,1,36,0.02,256,64,256,128,32,add,1100
2024-07-17 19:58,214.05418,36.50461196899414,410.99658,13.25643825531006,419.1148,-6.440703868865967,9,410.99658,13.25643825531006,214.05418,36.50461196899414,419.1148,-6.440703868865967,9,1609.1643,-706.6143798828125,1150.0452,-436.0980529785156,946.4296,-457.4672546386719,1,28,0.04,256,256,256,128,8,add,1100
2024-07-17 11:26,206.19019,-32.571773529052734,425.67517,,413.88565,,10,402.2597,-238.95118713378903,258.6684,,361.8646,,5,397.56372,-296.6479797363281,245.22064,,411.66412,,6,8,0.01,32,256,64,32,2,add,1100
2024-07-17 11:47,179.18066,-69.03660583496094,504.86142,,447.08194,,13,429.81628,-60.731327056884766,281.65598,,436.5346,,8,421.8819,-102.19450378417967,920.1363,,500.23584,,3,8,0.05,64,64,256,32,8,add,1100
2024-07-17 18:31,231.66304,21.215744018554688,401.09827,-24.634504318237305,403.3073,-23.15485191345215,9,386.4587,-34.9161491394043,291.61008,-6.875124454498291,444.14563,-48.28084945678711,10,485.16312,-178.91836547851562,412.09186,-14.732536315917969,517.53253,-115.54676818847656,8,36,0.08,256,64,256,32,16,add,1100
2024-07-17 18:10,250.17517,5.546866416931152,417.48526,-34.08222961425781,338.88837,-50.11079406738281,7,519.41595,-16.961572647094727,451.08182,-3.762706279754639,425.51056,-5.543626308441162,8,425.51056,-5.543626308441162,451.08182,-3.762706279754639,519.41595,-16.961572647094727,8,36,0.15,256,32,512,32,8,add,1100
