exp_date,train_rmse,train_custom_acc,val_rmse_for_best_train,val_custom_acc_for_best_train,test_rmse_for_best_train,test_custom_acc_for_best_train,train_epoch_for_best_train,val_rmse,val_custom_acc,train_rmse_for_best_val,train_custom_acc_for_best_val,test_rmse_for_best_val,test_custom_acc_for_best_val,val_epoch_for_best_val,test_rmse,test_custom_acc,train_rmse_for_best_test,train_custom_acc_for_best_test,val_rmse_for_best_test,val_custom_acc_for_best_test,test_epoch_for_best_test,vs,d,hd,ld,td,timed,pd,el,nh,cd,tck,fck,nt,sm,up,sl,mlp,ep,bs,lr,dp,wd
2024-08-22 10:34,9251.191,91.2229232788086,80250.43,27.862667083740234,78297.36,6.546968460083008,25,89798.75,-14.683151245117188,82043.34,11.242067337036133,82665.95,-5.267226696014404,1,75255.33,28.23260498046875,44453.062,60.08013534545898,83019.016,31.22195625305176,4,0.1,96,64,416,12,48,48,5,4,256,7,5,batch,none,True,8,True,40,256,0.0029,0.18,0.0038
2024-08-22 09:35,17352.475,81.07062530517578,77175.44,35.2282829284668,79594.18,22.61599349975586,19,90438.77,-17.48621368408203,82086.65,8.954996109008789,83441.32,-8.160125732421875,1,72976.086,25.395721435546875,56424.31,44.2607536315918,76855.414,21.905052185058597,2,0.15,96,64,160,12,56,44,3,4,192,11,9,batch,none,True,8,True,60,256,0.0037,0.18,0.006
2024-08-22 10:23,12916.99,87.13031768798828,77550.414,26.693439483642575,80043.06,0.6895303726196289,19,82925.02,26.78173828125,60473.207,47.1727294921875,87961.234,-0.2345085144042968,5,79741.945,-9.774600982666016,34984.926,57.18147659301758,69165.234,27.989959716796875,4,0.15,96,64,224,12,36,40,5,4,192,5,11,batch,none,False,8,True,50,512,0.0041,0.14,0.0049
2024-08-22 08:35,3915.5237,95.80299377441406,69861.29,41.83077239990234,72560.43,24.884151458740234,57,69563.34,40.701358795166016,6955.4443,92.5425796508789,72285.58,22.549301147460938,43,71109.91,27.75160026550293,15572.959,89.9142837524414,70472.42,40.22748565673828,35,0.1,96,64,352,12,52,44,4,4,192,11,5,layer,none,False,8,False,60,256,0.0051,0.16,0.0015
2024-08-22 10:49,15382.885,84.89604187011719,81893.48,20.45001983642578,77470.48,30.82863044738769,18,89298.695,-12.385093688964844,82030.6,13.086801528930664,82070.375,-2.9093503952026367,1,73827.32,28.59203147888184,31489.97,62.31906509399414,77779.664,23.64181327819824,3,0.25,96,64,416,12,20,48,4,4,256,9,9,batch,none,True,8,False,50,256,0.0024,0.14,0.0031
2024-08-22 09:38,5258.5356,94.38856506347656,75213.34,36.47637939453125,75679.734,26.474422454833984,37,90410.1,-17.296802520751953,82111.48,9.125185012817385,83389.02,-7.952618598937988,1,72888.63,27.382022857666016,24593.82,77.03760528564453,75943.2,26.822275161743164,10,0.2,96,64,288,12,60,32,4,4,192,9,11,batch,none,False,8,False,40,256,0.0027,0.2,0.0025
2024-08-22 10:38,12444.158,87.93082427978516,78954.35,33.98917770385742,79768.34,21.62069702148437,22,88684.43,-9.277618408203123,82093.055,15.558189392089844,81327.766,0.2796649932861328,1,75677.01,25.21710968017578,27866.979,73.46440887451172,80593.805,18.195283889770508,8,0.25,96,64,416,12,32,52,5,4,256,7,5,batch,none,False,8,False,40,256,0.0035,0.14,0.0042
2024-08-22 10:48,19204.338,80.5003433227539,73609.99,35.670982360839844,76382.15,32.45929336547852,16,86761.52,-13.9387845993042,71908.71,15.038692474365234,82711.94,-10.161483764648438,1,70185.49,25.870906829833984,19614.105,75.31166076660156,74135.664,24.90140151977539,14,0.25,96,64,480,12,20,60,4,4,256,5,11,layer,none,True,8,True,40,128,0.0021,0.14,0.0014
2024-08-22 11:09,8069.0757,91.40896606445312,77751.32,37.76764678955078,73245.125,37.78115463256836,27,82568.85,12.05877685546875,72985.02,33.23435974121094,77046.016,17.774200439453125,1,70444.086,30.80754280090332,16127.132,84.33580017089844,76430.24,30.011493682861328,15,0.1,96,64,480,12,24,60,4,4,256,9,11,layer,none,True,8,False,40,128,0.0016,0.14,0.0004
2024-08-22 08:35,13190.733,86.17188262939453,78529.7,31.373292922973636,77457.48,33.55949020385742,19,81247.9,13.95140266418457,68625.055,39.19186019897461,103918.41,-35.176265716552734,5,72729.875,18.46018409729004,35956.08,72.67950439453125,80969.18,12.543333053588867,13,0.2,96,64,352,12,40,32,5,4,64,7,11,batch,none,True,8,False,40,512,0.0032,0.16,0.0051
2024-08-22 09:48,8456.908,90.6552734375,78690.65,35.64842224121094,74246.02,31.630355834960938,30,88600.69,-8.824050903320312,82109.51,15.916109085083008,81225.664,0.7444500923156738,1,69907.39,28.806108474731445,16887.682,81.876708984375,77508.56,28.346078872680664,14,0.1,96,64,416,12,56,52,5,4,256,7,5,batch,none,False,8,False,50,256,0.0011,0.16,0.0006
2024-08-22 08:21,8642.556,91.2239761352539,76378.03,37.28582382202149,77556.89,23.10544204711914,37,75926.695,23.157865524291992,56883.68,44.292579650878906,72398.78,26.78285217285156,1,71897.88,16.647417068481445,30122.555,66.59188079833984,79341.32,18.11584854125977,12,0.1,96,64,416,12,12,32,5,4,64,11,11,batch,none,False,8,False,40,128,0.0067,0.12,0.0003
2024-08-22 08:26,5814.25,93.8039093017578,71517.04,39.82394790649414,72973.93,22.53299331665039,40,88372.03,-7.54244327545166,82166.07,16.924131393432617,80945.66,2.058476209640503,1,71946.95,28.45706367492676,9409.135,90.3240737915039,73942.69,40.737789154052734,30,0.1,96,64,224,8,36,36,5,4,192,7,5,layer,none,True,8,False,50,256,0.002,0.16,0.0009
2024-08-22 11:17,8345.131,90.80530548095705,77049.16,27.508628845214844,77337.07,20.90289688110352,33,71227.61,35.23432540893555,17524.695,81.32820892333984,78156.73,27.01205062866211,19,72639.99,33.469688415527344,44027.64,56.68357467651367,75001.76,32.31423568725586,8,0.1,96,64,352,12,12,52,3,4,256,7,5,layer,none,False,8,True,50,1024,0.0016,0.12,0.0021
