exp_date,train_rmse,train_custom_acc,val_rmse_for_best_train,val_custom_acc_for_best_train,test_rmse_for_best_train,test_custom_acc_for_best_train,train_epoch_for_best_train,val_rmse,val_custom_acc,train_rmse_for_best_val,train_custom_acc_for_best_val,test_rmse_for_best_val,test_custom_acc_for_best_val,val_epoch_for_best_val,test_rmse,test_custom_acc,train_rmse_for_best_test,train_custom_acc_for_best_test,val_rmse_for_best_test,val_custom_acc_for_best_test,test_epoch_for_best_test,seq_len,lr,d,hid_d,last_d,time_d,e_layers,token_emb_kernel_size,comb_type,bs,dropout
2024-07-23 05:02,164.17047,53.10789489746094,497.53198,-74.1761245727539,456.9571,-113.4385986328125,21,450.3356,-8.347090721130371,251.23503,21.991382598876957,388.48364,-15.233564376831056,10,370.6138,-79.68711853027344,337.87567,-0.0297246873378753,478.14496,-61.64451599121094,9,32,0.048,258,663,829,90,18,8,add,1100,0.4537036663910374
2024-07-22 10:47,148.22176,55.12397384643555,499.96506,-1.9873902797698972,432.3567,-14.995701789855955,21,414.55157,0.8957489728927612,198.50249,22.20615005493164,379.13602,-5.912046909332275,13,321.80365,-27.172765731811523,378.2322,-7.523229598999023,432.70026,-10.53143310546875,8,26,0.0121,201,706,952,117,12,14,add,1100,
2024-07-22 23:35,180.42102,17.9234619140625,479.6965,-49.3713264465332,401.29144,-21.95094108581543,17,448.59088,17.130029678344727,256.33893,45.466796875,434.20096,30.83859634399414,11,374.27386,1.7959926128387451,418.88342,5.351051330566406,493.02612,-10.55620574951172,9,35,0.0349,473,812,941,153,20,8,add,1100,0.4795356302297692
2024-07-22 01:52,185.88426,44.82509231567383,464.41898,-38.38202667236328,438.43808,-99.03376007080078,18,437.30826,-19.298702239990234,259.3397,27.34518814086914,369.71872,-39.68628692626953,11,355.79724,-27.505844116210938,324.3329,18.36800193786621,411.76437,-11.0216064453125,10,20,0.0208,381,826,968,102,19,10,add,1100,
2024-07-22 08:31,164.48547,33.7966194152832,470.61234,-38.27717590332031,398.97995,-64.49913024902344,19,409.75485,-54.38734817504883,363.61603,-13.842245101928713,409.1731,-139.2714385986328,11,419.20264,-15.607369422912598,546.97394,-12.378639221191406,525.39703,-38.43327331542969,1,33,0.0053,360,577,967,90,9,15,add,1100,
2024-07-22 04:09,168.8187,38.84466171264648,444.9728,-17.267053604125977,390.13312,-20.82189178466797,14,391.82224,-21.20961570739746,241.32542,13.122852325439451,365.38083,-49.24244689941406,10,423.23245,-18.05177116394043,562.3308,-7.991929054260254,532.85187,-39.08959197998047,1,27,0.0111,289,621,891,151,18,15,add,1100,
2024-07-22 14:51,188.58977,17.546581268310547,431.03738,-39.81856536865234,399.24124,-62.75799179077149,15,403.03412,5.524449348449707,260.4418,0.6067182421684265,356.73157,-2.575066089630127,6,350.48407,-38.86446762084961,266.99176,11.926279067993164,423.38232,-18.79225349426269,7,31,0.0117,180,631,953,99,4,9,add,1100,
2024-07-23 04:27,208.62703,37.79795837402344,454.85495,-0.6439570188522339,394.75824,-4.90837287902832,16,409.76288,-27.424457550048828,238.53107,19.97754669189453,367.35553,-47.20791244506836,10,340.13806,-31.478166580200195,238.80447,8.293310165405273,437.02823,-20.05035972595215,11,37,0.071,414,876,1121,91,18,8,add,1100,0.4536271654920609
2024-07-22 10:51,201.3477,21.11050796508789,440.71628,-33.76747131347656,369.21838,-31.08994674682617,14,390.0921,-35.676300048828125,229.9803,4.780697822570801,357.84308,-52.45305633544922,9,339.88766,-65.74800109863281,348.59177,-13.361457824707031,449.16455,-49.21649169921875,2,29,0.005,333,695,955,100,3,14,add,1100,
2024-07-22 09:11,198.49191,19.415138244628903,470.8487,-78.95233154296875,411.8416,-119.5060577392578,11,393.703,-39.25094223022461,205.20671,22.272750854492188,389.09833,-100.71588897705078,10,389.09833,-100.71588897705078,205.20671,22.272750854492188,393.703,-39.25094223022461,10,33,0.0064,309,578,880,119,3,13,add,1100,
