time,power
2024-01-05 01:30:00,48446.70999999999
2024-01-05 01:45:00,51522.39000000001
2024-01-05 02:00:00,50060.819999999985
2024-01-05 02:15:00,46435.88500000002
2024-01-05 02:30:00,59303.259999999995
2024-01-05 02:45:00,60653.865
2024-01-05 03:00:00,57157.520000000004
2024-01-05 03:15:00,57003.72
2024-01-05 03:30:00,65395.12
2024-01-05 03:45:00,75468.71499999997
2024-01-05 04:00:00,83004.51999999999
2024-01-05 04:15:00,83777.82999999999
2024-01-05 04:30:00,87140.90999999999
2024-01-05 04:45:00,93113.39499999999
2024-01-05 05:00:00,94356.5
2024-01-05 05:15:00,83901.425
2024-01-05 05:30:00,81421.73500000002
2024-01-05 05:45:00,92221.97
2024-01-05 06:00:00,94177.12
2024-01-05 06:15:00,97783.0225
2024-01-05 06:30:00,86339.89000000001
2024-01-05 06:45:00,78070.27999999998
2024-01-05 07:00:00,83928.99999999997
2024-01-05 07:15:00,78112.32500000001
2024-01-05 07:30:00,82405.19
2024-01-05 07:45:00,87646.765
2024-01-05 08:00:00,85860.49
2024-01-05 08:15:00,90802.70999999999
2024-01-05 08:30:00,88798.06000000003
2024-01-05 08:45:00,89985.6325
2024-01-05 09:00:00,80352.75
2024-01-05 09:15:00,82537.8
2024-01-05 09:30:00,77296.93999999997
2024-01-05 09:45:00,73313.885
2024-01-05 10:00:00,68471.93999999999
2024-01-05 10:15:00,69457.115
2024-01-05 10:30:00,69173.34999999998
2024-01-05 10:45:00,70077.98999999999
2024-01-05 11:00:00,68565.47
2024-01-05 11:15:00,60389.165
2024-01-05 11:30:00,57786.89000000001
2024-01-05 11:45:00,54917.40999999999
2024-01-05 12:00:00,49993.55999999999
2024-01-05 12:15:00,47075.520000000004
2024-01-05 12:30:00,51007.28
2024-01-05 12:45:00,53409.40999999999
2024-01-05 13:00:00,55468.22
2024-01-05 13:15:00,71510.2
2024-01-05 13:30:00,78365.28000000001
2024-01-05 13:45:00,75223.33000000002
2024-01-05 14:00:00,72814.90999999999
2024-01-05 14:15:00,83444.54500000001
2024-01-05 14:30:00,82602.50000000001
2024-01-05 14:45:00,81673.67
2024-01-05 15:00:00,84372.66000000002
2024-01-05 15:15:00,70726.43000000001
2024-01-05 15:30:00,63094.369999999995
2024-01-05 15:45:00,56950.655000000006
2024-01-05 16:00:00,50942.169999999984
2024-01-05 16:15:00,47198.71
2024-01-05 16:30:00,48746.3
2024-01-05 16:45:00,45788.874999999985
2024-01-05 17:00:00,48564.599999999984
2024-01-05 17:15:00,51195.16499999999
2024-01-05 17:30:00,48671.979999999996
2024-01-05 17:45:00,44136.97000000001
2024-01-05 18:00:00,41422.57999999999
2024-01-05 18:15:00,37144.85
2024-01-05 18:30:00,34848.749999999985
2024-01-05 18:45:00,39794.60999999999
2024-01-05 19:00:00,44382.950000000004
2024-01-05 19:15:00,43875.177500000005
2024-01-05 19:30:00,40984.259999999995
2024-01-05 19:45:00,37515.33250000001
2024-01-05 20:00:00,35434.939999999995
2024-01-05 20:15:00,37703.31250000001
2024-01-05 20:30:00,41132.23
2024-01-05 20:45:00,42622.294999999984
2024-01-05 21:00:00,41242.700000000004
2024-01-05 21:15:00,41145.29999999999
2024-01-05 21:30:00,44530.09
2024-01-05 21:45:00,43612.35499999999
2024-01-05 22:00:00,51889.88
2024-01-05 22:15:00,51108.73499999999
2024-01-05 22:30:00,52128.150000000016
2024-01-05 22:45:00,52428.81999999999
2024-01-05 23:00:00,49270.88000000001
2024-01-05 23:15:00,51836.3375
2024-01-05 23:30:00,52989.90000000001
2024-01-05 23:45:00,44823.179999999986
2024-01-06 00:00:00,31606.62
2024-01-06 00:15:00,28753.900000000005
2024-01-06 00:30:00,26952.409999999993
2024-01-06 00:45:00,28662.794999999995
2024-01-06 01:00:00,29217.750000000004
2024-01-06 01:15:00,24735.295000000002
2024-01-06 01:30:00,24060.299999999996
2024-01-06 01:45:00,25549.309999999994
2024-01-06 02:00:00,26591.18999999999
2024-01-06 02:15:00,27108.142500000005
2024-01-06 02:30:00,39498.51000000001
2024-01-06 02:45:00,38955.560000000005
2024-01-06 03:00:00,32279.539999999997
2024-01-06 03:15:00,27720.26
2024-01-06 03:30:00,24556.37
2024-01-06 03:45:00,21706.062499999996
2024-01-06 04:00:00,43239.759999999995
2024-01-06 04:15:00,48252.50000000001
2024-01-06 04:30:00,33988.530000000006
2024-01-06 04:45:00,34651.009999999995
2024-01-06 05:00:00,37265.85999999999
2024-01-06 05:15:00,26869.67
2024-01-06 05:30:00,37522.24
2024-01-06 05:45:00,27502.925000000003
2024-01-06 06:00:00,25863.699999999993
2024-01-06 06:15:00,25778.655000000002
2024-01-06 06:30:00,25346.20000000001
2024-01-06 06:45:00,29324.567499999997
2024-01-06 07:00:00,25603.7
2024-01-06 07:15:00,23456.55
2024-01-06 07:30:00,28062.83000000001
2024-01-06 07:45:00,24449.01
2024-01-06 08:00:00,38432.43
2024-01-06 08:15:00,29982.352499999997
2024-01-06 08:30:00,29392.41
2024-01-06 08:45:00,26112.015000000007
2024-01-06 09:00:00,21188.129999999997
2024-01-06 09:15:00,20778.719999999994
2024-01-06 09:30:00,16939.490000000005
2024-01-06 09:45:00,16277.030000000002
2024-01-06 10:00:00,19720.529999999995
2024-01-06 10:15:00,21645.020000000004
2024-01-06 10:30:00,23552.090000000004
2024-01-06 10:45:00,27655.385000000002
2024-01-06 11:00:00,25799.429999999993
2024-01-06 11:15:00,24424.789999999997
2024-01-06 11:30:00,22625.110000000004
2024-01-06 11:45:00,23577.965000000004
2024-01-06 12:00:00,20723.229999999996
2024-01-06 12:15:00,17633.559999999998
2024-01-06 12:30:00,17155.259999999995
2024-01-06 12:45:00,15983.569999999996
2024-01-06 13:00:00,15267.490000000003
2024-01-06 13:15:00,14838.017499999998
2024-01-06 13:30:00,12358.8
2024-01-06 13:45:00,13617.065000000002
2024-01-06 14:00:00,13374.16
2024-01-06 14:15:00,15082.049999999997
