exp_date,train_rmse,train_custom_acc,val_rmse_for_best_train,val_custom_acc_for_best_train,test_rmse_for_best_train,test_custom_acc_for_best_train,train_epoch_for_best_train,val_rmse,val_custom_acc,train_rmse_for_best_val,train_custom_acc_for_best_val,test_rmse_for_best_val,test_custom_acc_for_best_val,val_epoch_for_best_val,test_rmse,test_custom_acc,train_rmse_for_best_test,train_custom_acc_for_best_test,val_rmse_for_best_test,val_custom_acc_for_best_test,test_epoch_for_best_test,skip_mode,True,False,16,0.005,48,96,512,32,4,12,13,128,11dropout,norm_type,num_heads,bs,0.001,64,8,6,9,5dropout,256,9dropout,conv,mha,mlp,use_pos,seq_len,lr,d,hid_d,last_d,tok_d,time_d,pos_d,e_layers,tok_conv_k,conv_out_d,feat_conv_k,dropout
2024-08-17 23:17,12168.88,87.28231048583984,74295.43,44.8278694152832,77834.19,19.60044479370117,37,71854.516,45.95982360839844,22656.21,77.3727035522461,81992.42,9.270429611206056,22,75043.555,33.74728012084961,13093.917,85.06043243408203,76213.81,49.93473815917969,35,fullconv,mlp,seq_len,lr,d,,,,,pos_d,,,tok_d,,batch,16,1024,,last_d,tok_conv_k,,conv_out_d,,feat_conv_k,0.2,,,,,,,,,,,,,,,,,
2024-08-17 22:56,5900.0737,93.4078140258789,77070.92,37.3283805847168,80897.445,16.79673194885254,50,77098.37,38.00034332275391,6786.039,92.60347747802734,79816.484,19.300540924072266,38,74037.37,31.43471336364746,73543.58,44.827178955078125,104240.44,17.886470794677734,4,fullconv,seq_len,mlp,e_layers,,last_d,,tok_d,pos_d,,,,feat_conv_k,,batch,4,1024,d,,tok_conv_k,,conv_out_d,0.1,,,,,,,,,,,,,,,,,,,
2024-08-17 23:58,9668.316,89.09984588623047,71368.1,42.50600814819336,72426.0,31.045717239379883,29,69194.43,40.01077651977539,23156.842,80.10775756835938,72887.58,27.354576110839844,17,71173.586,34.65462112426758,12627.313,89.67289733886719,70321.95,43.81778717041016,32,conv_mlpconv,seq_len,use_pos,lr,d,last_d,hid_d,tok_d,e_layers,,,conv_out_d,feat_conv_k,,batch,4,1024,,,tok_conv_k,,,,,0.1,,,,,,,,,,,,,,,,,
2024-08-17 23:00,6208.6753,93.50442504882812,71059.49,44.641822814941406,76921.95,17.46949005126953,44,69810.88,44.079063415527344,13582.995,82.49658203125,76797.94,12.44394874572754,30,78833.53,45.19232940673828,36536.637,69.10370635986328,78982.53,52.24503326416016,5,fullconv,mha,seq_len,e_layers,d,,,,,,,conv_out_d,,0.2,batch,4,1024,,feat_conv_k,tok_conv_k,,,,tok_d,,,,,,,,,,,,,,,,,,
2024-08-17 23:27,9177.375,90.30644989013672,72945.64,39.38874816894531,80781.59,10.552852630615234,43,74920.766,41.55291748046875,23781.023,82.91641998291016,83924.25,9.189556121826172,31,78446.7,12.857585906982422,15837.941,88.02702331542969,72715.5,40.01158142089844,36,conv_mlpconv,mha,seq_len,pos_d,d,,last_d,tok_d,e_layers,,tok_conv_k,,,,batch,4,1024,,feat_conv_k,,,conv_out_d,,,0.1,,,,,,,,,,,,,,,,,
2024-08-17 23:07,7790.48,91.73147583007812,76397.63,43.81340026855469,78828.664,13.302525520324709,43,75882.875,45.964805603027344,12884.458,87.34978485107422,80171.27,13.200690269470217,28,81243.97,5.60308313369751,49390.477,45.0461540222168,93259.61,27.09946632385254,7,fullconv,seq_len,use_pos,lr,,last_d,,,,,tok_conv_k,conv_out_d,tok_d,,batch,16,1024,d,feat_conv_k,e_layers,,,0.1,,,,,,,,,,,,,,,,,,,
2024-08-17 23:25,25279.611,74.9204330444336,88880.63,43.19195556640625,91590.86,34.919368743896484,19,90083.14,-6.343492031097412,82088.3,10.632638931274414,82828.33,-2.35089373588562,1,78825.63,13.152737617492676,96976.13,-12.720722198486328,101859.87,16.283239364624023,6,conv_mlpconv,mlp,seq_len,lr,,,time_d,,pos_d,e_layers,,,tok_d,0.1,batch,4,1024,d,feat_conv_k,,tok_conv_k,conv_out_d,,,,,,,,,,,,,,,,,,,,
2024-08-18 00:44,82096.914,10.31110954284668,90163.95,-6.648584842681885,82925.38,-2.689380884170532,3,91511.63,-11.37356185913086,82360.7,5.905816555023193,84523.69,-7.911196231842041,1,76976.734,11.358405113220217,285463.94,-130.38548278808594,208073.4,-26.59627914428711,13,conv_mlp,,,,,,,,,,,,,,batch,16,1024,,,,,,,,,True,True,False,False,16.0,0.005,64.0,64.0,256.0,32.0,16.0,16.0,12.0,13.0,256.0,5.0,0.1
2024-08-17 23:02,8339.92,91.40242767333984,69893.29,42.21390151977539,78772.555,33.5968017578125,35,67636.71,43.58796691894531,14510.309,84.84494018554688,78901.836,32.92471694946289,19,74708.51,32.58525085449219,13912.263,85.64716339111328,72671.95,38.00277328491211,21,fullconv,mha,seq_len,e_layers,,,,,,,,,,0.2,batch,32,1024,d,feat_conv_k,pos_d,tok_conv_k,conv_out_d,,tok_d,,,,,,,,,,,,,,,,,,
2024-08-17 22:58,81586.7,14.82924461364746,89147.305,-2.283372640609741,82835.65,0.1234812214970588,15,88860.77,-1.290083885192871,82102.39,15.153827667236328,81343.414,3.2649266719818115,1,81343.414,3.2649266719818115,82102.39,15.153827667236328,88860.77,-1.290083885192871,1,conv_mlpconv,mlp,seq_len,lr,d,,last_d,tok_d,pos_d,e_layers,tok_conv_k,,feat_conv_k,,batch,8,1024,,time_d,,,conv_out_d,0.1,,,,,,,,,,,,,,,,,,,
