exp_date,train_rmse,train_custom_acc,val_rmse_for_best_train,val_custom_acc_for_best_train,test_rmse_for_best_train,test_custom_acc_for_best_train,train_epoch_for_best_train,val_rmse,val_custom_acc,train_rmse_for_best_val,train_custom_acc_for_best_val,test_rmse_for_best_val,test_custom_acc_for_best_val,val_epoch_for_best_val,test_rmse,test_custom_acc,train_rmse_for_best_test,train_custom_acc_for_best_test,val_rmse_for_best_test,val_custom_acc_for_best_test,test_epoch_for_best_test,skip_mode,conv,mha,mlp,use_pos,seq_len,lr,d,hid_d,last_d,tok_d,time_d,pos_d,e_layers,tok_conv_k,conv_out_d,feat_conv_k,dropout,norm_type,num_heads,bs
2024-08-18 05:43,14017.958,85.55821990966797,70907.3,39.519073486328125,84566.93,0.0217585060745477,21,81598.875,40.56282806396485,54488.914,44.71346282958984,92449.25,17.052465438842773,7,82110.29,0.2512620091438293,82057.57,12.826373100280762,89487.875,-3.998038530349731,1,conv_mlp,True,False,False,True,16,0.0008,16,96,128,96,16,4,8,9,64,11,0.1,batch,4,1024
2024-08-18 01:18,14500.342,84.18437194824219,75063.89,51.87115859985352,75735.33,32.90667724609375,34,75107.51,48.38145065307617,28318.514,72.05475616455078,79362.39,37.94817733764648,20,79362.39,37.94817733764648,28318.514,72.05475616455078,75107.51,48.38145065307617,20,none   ,True,False,True,False,16,0.0008,16,48,128,32,4,16,12,11,128,9,0.1,layer,4,1024
2024-08-18 10:57,7776.752,91.60582733154295,71260.055,45.82503890991211,85086.8,28.91839408874512,43,70285.36,46.11598587036133,12694.251,85.89824676513672,81748.305,30.86458778381348,34,81542.914,2.453226089477539,82081.67,14.527633666992188,89022.91,-2.018479585647583,1,full,True,False,True,False,16,0.005,16,48,256,32,16,16,8,11,64,9,0.1,batch,8,1024
2024-08-18 05:00,7731.6865,92.12863159179688,72594.36,44.43095779418945,74790.03,29.5684871673584,36,70306.27,43.96135330200195,13210.582,86.0331802368164,77595.78,21.976999282836918,22,73211.07,24.907283782958984,10305.011,89.66960144042969,71143.445,42.37570571899414,29,conv_mlp,True,False,False,False,16,0.001,64,64,256,16,16,16,6,5,128,11,0.2,batch,32,1024
2024-08-18 01:16,11316.535,88.1533432006836,73008.3,32.12908172607422,93042.64,-26.44403648376465,48,72520.22,34.81290817260742,16881.701,81.86273956298828,97981.07,-30.15327453613281,25,83759.11,-5.488628387451172,82208.14,7.9865288734436035,90863.92,-9.179328918457031,1,none   ,True,False,False,True,16,0.003,48,64,128,16,16,16,8,9,128,11,0.2,batch,16,1024
2024-08-18 16:14,14778.856,85.54525756835938,101247.05,13.990556716918944,85029.1,-7.916037082672119,24,78390.63,33.73873519897461,30117.518,67.82335662841797,78797.484,7.9005446434021,6,72965.74,8.86614990234375,41740.87,54.13631820678711,77480.69,22.78567123413086,5,conv_mlp,True,False,False,False,36,0.003,16,48,256,16,4,4,2,9,256,9,0.1,batch,16,1024
2024-08-18 08:58,43052.746,64.0580062866211,110673.95,6.592022895812988,84899.28,7.736538410186768,12,88901.914,-1.4770087003707886,82096.45,15.022674560546877,81394.125,3.056563377380371,1,81394.125,3.056563377380371,82096.45,15.022674560546877,88901.914,-1.4770087003707886,1,full,True,False,False,False,16,0.003,48,64,128,64,4,4,12,5,128,9,0.2,batch,4,1024
2024-08-18 02:07,11466.159,88.18894958496094,73980.28,39.87568664550781,76755.55,24.655412673950195,38,70097.32,43.17338180541992,16615.059,82.16490173339844,76510.71,26.08702278137207,23,76510.71,26.08702278137207,16615.059,82.16490173339844,70097.32,43.17338180541992,23,none   ,True,False,False,True,16,0.0008,16,96,128,8,8,16,8,9,128,9,0.1,batch,8,1024
2024-08-18 01:49,11511.623,87.76974487304688,82266.51,42.31342315673828,81529.88,31.255678176879883,23,75530.79,33.380218505859375,31096.283,67.6792221069336,79424.945,18.659151077270508,9,75619.59,40.94677734375,35204.645,69.27057647705078,85630.74,39.10509490966797,5,full,True,False,False,True,16,0.0008,64,64,256,96,16,8,8,5,128,13,0.1,layer,16,1024
2024-08-18 14:23,17035.406,81.81785583496094,82491.914,29.95182037353516,79672.29,14.419122695922852,18,82247.55,45.00352478027344,35340.645,66.67435455322266,76852.06,37.91463470458984,6,72117.49,29.57196617126465,43276.688,54.53423309326172,72737.88,39.47693634033203,5,full,True,False,True,False,24,0.003,64,48,256,16,8,4,6,9,256,11,0.1,layer,16,1024
