exp_date,train_rmse,train_custom_acc,val_rmse_for_best_train,test_rmse_for_best_train,train_epoch_for_best_train,val_rmse,val_custom_acc,train_rmse_for_best_val,test_rmse_for_best_val,val_epoch_for_best_val,test_rmse,test_custom_acc,train_rmse_for_best_test,val_rmse_for_best_test,test_epoch_for_best_test,seq_len,lr,d,hid_d,last_d,time_d,e_layers,comb_type,bs
2024-07-17 08:38,247.10179,9.062646865844728,473.98584,306.22232,17,473.98584,-194.1748809814453,247.10179,306.22232,17,306.22232,-16.720373153686523,247.10179,473.98584,17,8,0.08,32,64,256,32,8,add,1100
2024-07-16 20:01,20110.105,-6344.1171875,15919.821,19343.273,12,436.00934,-38.74599456787109,246.34985,295.12744,8,295.12744,9.958892822265623,246.34985,436.00934,8,8,0.18,32,64,32,32,4,add,1100
2024-07-17 08:18,597.84186,-250.25140380859372,526.5314,584.1702,11,526.5314,-315.2756042480469,597.84186,584.1702,11,584.1702,-174.68789672851562,597.84186,526.5314,11,24,0.2,32,64,128,64,4,add,1100
2024-07-17 06:24,69835.305,-15779.2822265625,1549.4062,62460.55,14,509.95203,-121.49144744873048,194.76472,287.62286,11,287.62286,1.718732237815857,194.76472,509.95203,11,8,0.08,32,64,128,64,6,add,1100
2024-07-17 01:49,520.5576,-396.8928833007813,425.44968,503.0782,9,681.9684,11.99331760406494,761.0565,745.98456,10,503.0782,-219.79869079589844,520.5576,425.44968,9,24,0.2,32,128,256,64,12,add,1100
2024-07-17 08:05,435.6906,-1.2755601406097412,517.3704,453.52963,10,576.19073,-64.32537841796875,734.04584,705.51544,1,368.8406,-5.5878071784973145,321.648,513.802,8,24,0.15,32,64,128,64,6,add,1100
2024-07-17 01:33,279.37384,7.498709201812744,427.8942,315.73203,7,450.98837,-310.9414367675781,455.97394,455.1875,1,802.6272,-60.70741271972656,861.25165,502.42126,2,24,0.1,32,64,64,32,6,add,1100
2024-07-17 01:44,354.32074,-22.1790828704834,420.95532,369.1383,8,488.5255,-450.8984069824219,404.0928,422.0998,9,369.1383,-17.573898315429688,354.32074,420.95532,8,24,0.2,32,128,256,64,2,add,1100
2024-07-16 20:54,318.77448,-20.981002807617188,452.41815,350.5009,9,389.51184,-103.01610565185548,280.19836,306.072,4,350.5009,0.0701330304145813,318.77448,452.41815,9,24,0.05,32,128,128,64,2,add,1100
2024-07-17 07:34,532.50165,-223.69644165039065,655.2121,559.5424,11,432.5479,-87.31068420410156,235.37572,286.60327,10,286.60327,-10.321972846984863,235.37572,432.5479,10,16,0.2,32,64,128,64,2,add,1100
2024-07-17 06:53,202.12006,-27.95052146911621,421.7787,261.8223,10,417.44147,-77.34080505371094,300.90384,328.15094,5,286.3418,-65.36751556396484,240.11497,422.24203,8,16,0.05,32,256,32,32,2,add,1100
2024-07-16 20:57,194.13564,-7.574378490447998,471.79752,273.7729,10,479.14832,-217.9713592529297,353.17218,382.2848,5,301.16583,-44.415069580078125,218.01994,511.79395,9,24,0.05,32,128,128,64,6,add,1100
2024-07-16 23:29,221.25778,-59.98597717285156,425.8396,274.86795,8,455.61237,-59.15117645263672,378.81635,395.91266,3,322.5421,-89.0128402709961,275.13297,465.78955,6,24,0.15,32,64,32,64,2,add,1100
2024-07-17 01:42,883.1794,-23.27115249633789,775.71796,862.6788,8,653.7994,-229.8106231689453,692.8364,684.90497,10,862.6788,-29.22567367553711,883.1794,775.71796,8,24,0.18,32,128,256,64,12,add,1100
2024-07-17 03:28,294.01666,-63.69317626953125,396.5846,317.56265,8,592.78094,-57.696895599365234,715.6222,693.0774,9,693.0774,-27.906328201293945,715.6222,592.78094,9,16,0.2,32,64,64,64,12,add,1100
